Scientific_name,English_name_AviList,Romanian,IUCN_Red_List_Category
Anas zonorhyncha,Eastern Spot-billed Duck,Eastern Spot-billed Duck,LC
Anas poecilorhyncha,Indian Spot-billed Duck,Indian Spot-billed Duck,LC
Anas poecilorhyncha poecilorhyncha,,,
Anas poecilorhyncha haringtoni,,,
Anas platyrhynchos,Mallard,Rață mare,LC
Anas platyrhynchos platyrhynchos,,,
Anas platyrhynchos conboschas,,,
Anas diazi,Mexican Duck,Mexican Duck,NE
Anas rubripes,American Black Duck,Rață fumurie,LC
Anas fulvigula,Mottled Duck,Mottled Duck,NE
Anas fulvigula fulvigula,,,
Anas fulvigula maculosa,,,
Anas capensis,Cape Teal,Rață sud-africană,LC
Anas bahamensis,White-cheeked Pintail,White-cheeked Pintail,LC
Anas bahamensis bahamensis,,,
Anas bahamensis rubrirostris,,,
Anas bahamensis galapagensis,,,
Anas erythrorhyncha,Red-billed Teal,Rață cu cioc roșu,LC
Anas georgica,Yellow-billed Pintail,Yellow-billed Pintail,LC
Anas georgica niceforoi,,,
Anas georgica spinicauda,,,
Anas georgica georgica,,,
Anas acuta,Northern Pintail,Rață sulițar,LC
Anas eatoni,Eaton's Pintail,Eaton's Pintail,LC
Anas eatoni drygalskii,,,
Anas eatoni eatoni,,,
Anas crecca,Green-winged Teal,Rață mică,NE
Anas crecca crecca,,,
Anas crecca carolinensis,,,
Anas flavirostris,Yellow-billed Teal,Yellow-billed Teal,LC
Anas flavirostris oxyptera,,,
Anas flavirostris flavirostris,,,
Anas andium,Andean Teal,Andean Teal,LC
Anas andium altipetens,,,
Anas andium andium,,,
Anas gibberifrons,Sunda Teal,Sunda Teal,LC
Anas albogularis,Andaman Teal,Andaman Teal,NT
Anas castanea,Chestnut Teal,Chestnut Teal,LC
Anas castanea castanea,,,
Anas castanea alexanderi,,,
Anas gracilis,Grey Teal,Gray Teal,LC
Anas gracilis gracilis,,,
Anas gracilis remissa,,,
Anas bernieri,Bernier's Teal,Bernier's Teal,EN
Anas theodori,Mascarene Teal,Mauritius Duck,EX
Anas chlorotis,Brown Teal,Brown Teal,NT
Anas aucklandica,Auckland Teal,Auckland Islands Teal,NT
Anas nesiotis,Campbell Teal,Campbell Islands Teal,VU
Galliformes,,,
Megapodiidae,,,
Leipoa,,,
Leipoa ocellata,Malleefowl,Malleefowl,VU
Talegalla,,,
Talegalla cuvieri,Red-billed Brushturkey,Red-billed Brushturkey,LC
Talegalla fuscirostris,Black-billed Brushturkey,Yellow-legged Brushturkey,LC
Talegalla jobiensis,Collared Brushturkey,Red-legged Brushturkey,LC
Talegalla jobiensis jobiensis,,,
Talegalla jobiensis longicaudus,,,
Alectura,,,
Alectura lathami,Australian Brushturkey,Australian Brushturkey,LC
Alectura lathami purpureicollis,,,
Alectura lathami lathami,,,
Aepypodius,,,
Aepypodius bruijnii,Waigeo Brushturkey,Waigeo Brushturkey,EN
Aepypodius arfakianus,Wattled Brushturkey,Wattled Brushturkey,LC
Aepypodius arfakianus arfakianus,,,
Aepypodius arfakianus misoliensis,,,
Macrocephalon,,,
Macrocephalon maleo,Maleo,Maleo,CR
Eulipoa,,,
Eulipoa wallacei,Moluccan Megapode,Moluccan Megapode,VU
Megapodius,,,
Megapodius pritchardii,Tongan Megapode,Tongan Megapode,VU
Megapodius laperouse,Micronesian Megapode,Micronesian Megapode,NT
Megapodius laperouse senex,,,
Megapodius laperouse laperouse,,,
Megapodius nicobariensis,Nicobar Megapode,Nicobar Megapode,VU
Megapodius nicobariensis nicobariensis,,,
Megapodius nicobariensis abbotti,,,
Megapodius cumingii,Philippine Megapode,Philippine Megapode,LC
Megapodius cumingii cumingii,,,
Megapodius cumingii dillwyni,,,
Megapodius cumingii pusillus,,,
Megapodius cumingii tabon,,,
Megapodius cumingii gilbertii,,,
Megapodius cumingii sanghirensis,,,
Megapodius cumingii talautensis,,,
